Floor Area Segment,Starting Band,Finishing Band,Cost Savings
0-72,Low_G,High_A,2311.8
0-72,Low_G,Low_A,2311.8
0-72,Low_G,High_B,2311.8
0-72,Low_G,Low_B,2201
0-72,Low_G,High_C,2062.6
0-72,Low_G,Low_C,1940.8
0-72,Low_G,High_D,1785.8
0-72,Low_G,Low_D,1641.8
0-72,Low_G,High_E,1466
0-72,Low_G,Low_E,1297.2
0-72,Low_G,High_F,1060.1
0-72,Low_G,Low_F,795.6
0-72,Low_G,High_G,424.5
0-72,High_G,High_A,1887.3
0-72,High_G,Low_A,1887.3
0-72,High_G,High_B,1887.3
0-72,High_G,Low_B,1776.6
0-72,High_G,High_C,1638.2
0-72,High_G,Low_C,1516.3
0-72,High_G,High_D,1361.3
0-72,High_G,Low_D,1217.3
0-72,High_G,High_E,1041.6
0-72,High_G,Low_E,872.8
0-72,High_G,High_F,635.7
0-72,High_G,Low_F,371.2
0-72,Low_F,High_A,1516.1
0-72,Low_F,Low_A,1516.1
0-72,Low_F,High_B,1516.1
0-72,Low_F,Low_B,1405.4
0-72,Low_F,High_C,1267
0-72,Low_F,Low_C,1145.2
0-72,Low_F,High_D,990.1
0-72,Low_F,Low_D,846.2
0-72,Low_F,High_E,670.4
0-72,Low_F,Low_E,501.6
0-72,Low_F,High_F,264.5
0-72,High_F,High_A,1251.7
0-72,High_F,Low_A,1251.7
0-72,High_F,High_B,1251.7
0-72,High_F,Low_B,1140.9
0-72,High_F,High_C,1002.5
0-72,High_F,Low_C,880.7
0-72,High_F,High_D,725.6
0-72,High_F,Low_D,581.7
0-72,High_F,High_E,405.9
0-72,High_F,Low_E,237.1
0-72,Low_E,High_A,1014.6
0-72,Low_E,Low_A,1014.6
0-72,Low_E,High_B,1014.6
0-72,Low_E,Low_B,903.8
0-72,Low_E,High_C,765.4
0-72,Low_E,Low_C,643.6
0-72,Low_E,High_D,488.5
0-72,Low_E,Low_D,344.6
0-72,Low_E,High_E,168.8
0-72,High_E,High_A,845.7
0-72,High_E,Low_A,845.7
0-72,High_E,High_B,845.7
0-72,High_E,Low_B,735
0-72,High_E,High_C,596.6
0-72,High_E,Low_C,474.8
0-72,High_E,High_D,319.7
0-72,High_E,Low_D,175.8
0-72,Low_D,High_A,670
0-72,Low_D,Low_A,670
0-72,Low_D,High_B,670
0-72,Low_D,Low_B,559.2
0-72,Low_D,High_C,420.8
0-72,Low_D,Low_C,299
0-72,Low_D,High_D,144
0-72,High_D,High_A,526
0-72,High_D,Low_A,526
0-72,High_D,High_B,526
0-72,High_D,Low_B,415.3
0-72,High_D,High_C,276.9
0-72,High_D,Low_C,155
73-97,Low_G,High_A,2519.7
73-97,Low_G,Low_A,2519.7
73-97,Low_G,High_B,2519.7
73-97,Low_G,Low_B,2399
73-97,Low_G,High_C,2248.1
73-97,Low_G,Low_C,2115.3
73-97,Low_G,High_D,1946.3
73-97,Low_G,Low_D,1789.4
73-97,Low_G,High_E,1597.9
73-97,Low_G,Low_E,1413.9
73-97,Low_G,High_F,1155.4
73-97,Low_G,Low_F,867.2
73-97,Low_G,High_G,462.6
73-97,High_G,High_A,2057.1
73-97,High_G,Low_A,2057.1
73-97,High_G,High_B,2057.1
73-97,High_G,Low_B,1936.4
73-97,High_G,High_C,1785.5
73-97,High_G,Low_C,1652.7
73-97,High_G,High_D,1483.7
73-97,High_G,Low_D,1326.8
73-97,High_G,High_E,1135.3
73-97,High_G,Low_E,951.3
73-97,High_G,High_F,692.8
73-97,High_G,Low_F,404.6
73-97,Low_F,High_A,1652.5
73-97,Low_F,Low_A,1652.5
73-97,Low_F,High_B,1652.5
73-97,Low_F,Low_B,1531.8
73-97,Low_F,High_C,1380.9
73-97,Low_F,Low_C,1248.1
73-97,Low_F,High_D,1079.2
73-97,Low_F,Low_D,922.2
73-97,Low_F,High_E,730.7
73-97,Low_F,Low_E,546.7
73-97,Low_F,High_F,288.3
73-97,High_F,High_A,1364.2
73-97,High_F,Low_A,1364.2
73-97,High_F,High_B,1364.2
73-97,High_F,Low_B,1243.5
73-97,High_F,High_C,1092.7
73-97,High_F,Low_C,959.9
73-97,High_F,High_D,790.9
73-97,High_F,Low_D,634
73-97,High_F,High_E,442.4
73-97,High_F,Low_E,258.4
73-97,Low_E,High_A,1105.8
73-97,Low_E,Low_A,1105.8
73-97,Low_E,High_B,1105.8
73-97,Low_E,Low_B,985.1
73-97,Low_E,High_C,834.2
73-97,Low_E,Low_C,701.5
73-97,Low_E,High_D,532.5
73-97,Low_E,Low_D,375.6
73-97,Low_E,High_E,184
73-97,High_E,High_A,921.8
73-97,High_E,Low_A,921.8
73-97,High_E,High_B,921.8
73-97,High_E,Low_B,801.1
73-97,High_E,High_C,650.2
73-97,High_E,Low_C,517.5
73-97,High_E,High_D,348.5
73-97,High_E,Low_D,191.6
73-97,Low_D,High_A,730.2
73-97,Low_D,Low_A,730.2
73-97,Low_D,High_B,730.2
73-97,Low_D,Low_B,609.5
73-97,Low_D,High_C,458.7
73-97,Low_D,Low_C,325.9
73-97,Low_D,High_D,156.9
73-97,High_D,High_A,573.3
73-97,High_D,Low_A,573.3
73-97,High_D,High_B,573.3
73-97,High_D,Low_B,452.6
73-97,High_D,High_C,301.8
73-97,High_D,Low_C,169
98-199,Low_G,High_A,2928.9
98-199,Low_G,Low_A,2928.9
98-199,Low_G,High_B,2928.9
98-199,Low_G,Low_B,2788.6
98-199,Low_G,High_C,2613.2
98-199,Low_G,Low_C,2458.9
98-199,Low_G,High_D,2262.5
98-199,Low_G,Low_D,2080.1
98-199,Low_G,High_E,1857.4
98-199,Low_G,Low_E,1643.5
98-199,Low_G,High_F,1343.1
98-199,Low_G,Low_F,1008
98-199,Low_G,High_G,537.8
98-199,High_G,High_A,2391.2
98-199,High_G,Low_A,2391.2
98-199,High_G,High_B,2391.2
98-199,High_G,Low_B,2250.9
98-199,High_G,High_C,2075.5
98-199,High_G,Low_C,1921.1
98-199,High_G,High_D,1724.7
98-199,High_G,Low_D,1542.3
98-199,High_G,High_E,1319.6
98-199,High_G,Low_E,1105.8
98-199,High_G,High_F,805.3
98-199,High_G,Low_F,470.3
98-199,Low_F,High_A,1920.9
98-199,Low_F,Low_A,1920.9
98-199,Low_F,High_B,1920.9
98-199,Low_F,Low_B,1780.6
98-199,Low_F,High_C,1605.2
98-199,Low_F,Low_C,1450.9
98-199,Low_F,High_D,1254.4
98-199,Low_F,Low_D,1072
98-199,Low_F,High_E,849.4
98-199,Low_F,Low_E,635.5
98-199,Low_F,High_F,335.1
98-199,High_F,High_A,1585.8
98-199,High_F,Low_A,1585.8
98-199,High_F,High_B,1585.8
98-199,High_F,Low_B,1445.5
98-199,High_F,High_C,1270.1
98-199,High_F,Low_C,1115.8
98-199,High_F,High_D,919.4
98-199,High_F,Low_D,737
98-199,High_F,High_E,514.3
98-199,High_F,Low_E,300.4
98-199,Low_E,High_A,1285.4
98-199,Low_E,Low_A,1285.4
98-199,Low_E,High_B,1285.4
98-199,Low_E,Low_B,1145.1
98-199,Low_E,High_C,969.7
98-199,Low_E,Low_C,815.4
98-199,Low_E,High_D,619
98-199,Low_E,Low_D,436.6
98-199,Low_E,High_E,213.9
98-199,High_E,High_A,1071.5
98-199,High_E,Low_A,1071.5
98-199,High_E,High_B,1071.5
98-199,High_E,Low_B,931.2
98-199,High_E,High_C,755.8
98-199,High_E,Low_C,601.5
98-199,High_E,High_D,405.1
98-199,High_E,Low_D,222.7
98-199,Low_D,High_A,848.8
98-199,Low_D,Low_A,848.8
98-199,Low_D,High_B,848.8
98-199,Low_D,Low_B,708.5
98-199,Low_D,High_C,533.2
98-199,Low_D,Low_C,378.8
98-199,Low_D,High_D,182.4
98-199,High_D,High_A,666.5
98-199,High_D,Low_A,666.5
98-199,High_D,High_B,666.5
98-199,High_D,Low_B,526.1
98-199,High_D,High_C,350.8
98-199,High_D,Low_C,196.4
200+,Low_G,High_A,5220.3
200+,Low_G,Low_A,5220.3
200+,Low_G,High_B,5220.3
200+,Low_G,Low_B,4970.2
200+,Low_G,High_C,4657.6
200+,Low_G,Low_C,4382.5
200+,Low_G,High_D,4032.4
200+,Low_G,Low_D,3707.3
200+,Low_G,High_E,3310.5
200+,Low_G,Low_E,2929.3
200+,Low_G,High_F,2393.8
200+,Low_G,Low_F,1796.6
200+,Low_G,High_G,958.5
200+,High_G,High_A,4261.8
200+,High_G,Low_A,4261.8
200+,High_G,High_B,4261.8
200+,High_G,Low_B,4011.7
200+,High_G,High_C,3699.1
200+,High_G,Low_C,3424.1
200+,High_G,High_D,3074
200+,High_G,Low_D,2748.9
200+,High_G,High_E,2352
200+,High_G,Low_E,1970.8
200+,High_G,High_F,1435.4
200+,High_G,Low_F,838.2
200+,Low_F,High_A,3423.6
200+,Low_F,Low_A,3423.6
200+,Low_F,High_B,3423.6
200+,Low_F,Low_B,3173.6
200+,Low_F,High_C,2861
200+,Low_F,Low_C,2585.9
200+,Low_F,High_D,2235.8
200+,Low_F,Low_D,1910.7
200+,Low_F,High_E,1513.8
200+,Low_F,Low_E,1132.6
200+,Low_F,High_F,597.2
200+,High_F,High_A,2826.4
200+,High_F,Low_A,2826.4
200+,High_F,High_B,2826.4
200+,High_F,Low_B,2576.3
200+,High_F,High_C,2263.8
200+,High_F,Low_C,1988.7
200+,High_F,High_D,1638.6
200+,High_F,Low_D,1313.5
200+,High_F,High_E,916.6
200+,High_F,Low_E,535.4
200+,Low_E,High_A,2291
200+,Low_E,Low_A,2291
200+,Low_E,High_B,2291
200+,Low_E,Low_B,2040.9
200+,Low_E,High_C,1728.3
200+,Low_E,Low_C,1453.3
200+,Low_E,High_D,1103.2
200+,Low_E,Low_D,778.1
200+,Low_E,High_E,381.2
200+,High_E,High_A,1909.8
200+,High_E,Low_A,1909.8
200+,High_E,High_B,1909.8
200+,High_E,Low_B,1659.7
200+,High_E,High_C,1347.1
200+,High_E,Low_C,1072.1
200+,High_E,High_D,722
200+,High_E,Low_D,396.9
200+,Low_D,High_A,1512.9
200+,Low_D,Low_A,1512.9
200+,Low_D,High_B,1512.9
200+,Low_D,Low_B,1262.8
200+,Low_D,High_C,950.3
200+,Low_D,Low_C,675.2
200+,Low_D,High_D,325.1
200+,High_D,High_A,1187.8
200+,High_D,Low_A,1187.8
200+,High_D,High_B,1187.8
200+,High_D,Low_B,937.8
200+,High_D,High_C,625.2
200+,High_D,Low_C,350.1
